"homeless houseless georg carlin state issu year never plan help street consid human everyth go school work vote matter peopl think homeless lost caus worri thing racism war iraq pressur kid succeed technolog elect inflat worri next end street given bet live street month without luxuri home entertain set bathroom pictur wall comput everyth treasur see like homeless goddard bolt lesson mel brook direct star bolt play rich man everyth world decid make bet sissi rival jefferi tambor see live street thirti day without luxuri bolt succeed want futur project make build bet bolt thrown street bracelet leg monitor everi move step sidewalk given nicknam pepto vagrant written forehead bolt meet charact includ woman name molli lesley ann warren ex dancer got divorc lose home pal sailor howard morri fume teddi wilson alreadi use street survivor bolt use reach mutual agreement like rich fight flight kill kill love connect molli bolt necessari plot found life stink one mel brook observ film prior comedi show tender side compar slapstick work blaze saddl young frankenstein spacebal matter show like someth valuabl lose next day hand make stupid bet like rich peopl know money mayb give homeless instead use like monopoli money mayb film inspir help others
",positive
"brilliant act lesley ann warren best dramat hobo ladi ever seen love scene cloth warehous second none corn face classic good anyth blaze saddl take lawyer also superb accus turncoat sell bos dishonest lawyer pepto bolt shrug indiffer lawyer say three funni word jeffrey tambor favorit later larri sander show fantast mad millionair want crush ghetto charact malevol usual hospit scene scene homeless invad demolit site time classic look leg scene two big digger fight one bleed movi get better time see quit often
",positive
"night listen robin william toni collett bobbi cannaval rori culkin joe morton sandra oh john cullum lisa emeri becki ann baker dir patrick stettner hitchcockian suspens give william stand low key perform celebr fan near paranoia one associ almost norm latest derang fan scenario base true event le william star talk radio person name gabriel one read stori pen airwav accumul interest fan form young boy name pete logand culkin submit manuscript travail troubl youth one editor ash morton give one read one natur disturb ultim intrigu nightmarish exist pete abduct sexual abus year final rescu nurs name donna collett give excel perform adopt boy correspond one reveal pete die aid natur one want meet fan sudden doubt possibl devious ulterior motiv seed plant estrang lover jess cannaval whose sudden departur new york citi apart one emot tailspin grown tempest teacup decid investig donna pete background discov truth anticip written armistead maupin co wrote screenplay former lover terri anderson film novic director stettner base true stori fan hoax found hitchcockian moment run full tilt like good old fashion pot boiler help william give stand low key perform conflict good heart person genuin want believ number one fan fact real love one thing escap realiti unsettl dread moment creepi collett whose one physic trait leav unment underlin desper charact rattl core howev film run gas eventu becom bit repetit predict despit fine direct piec hoodwink mysteri stettner pay listen inner voic care hope
",positive
"enjoy night listen much one better movi summer robin william give one best perform fact entir cast good play right note charact much littl sandra oh add wonder comic touch toni collett great mom never goe top everyon believ short movi hour half notic general releas version nine minut shorter sundanc version wonder disturb imag cut movi director told stori straightforward fashion refresh chang mani director day seem think job impress audienc rather tell stori tell well sucker punch preview ad hitchcockian thriller see night listen want see good stori told well go expect hitchcock disappoint complaint movi end director could left littl audienc imagin minor quibble
",positive
"night listen held attent robin william shine new york citi radio host becom enamor friendship year old boy rori culkin ill william never met boy person contact talk telephon howev william ex boyfriend nice job bobbi cannaval rais doubt boy prompt william arrang meet person follow make perman impact william way expect leav toni collett also star enjoy film toni collett give memor portray culkin adopt mother sandra oh also star william friend night listen inspir actual event somber almost creepi silenc throughout time predict thank review read see movi due logic like anyway enjoy william role like comed charact ad bonus recommended
",positive
"absolut love film relat comment read complet enthral everi second found stori grip act intens direct spot would liter jump everi time phone would ring close end movi even though noth scari stori sound edg whole movi rest even found mani perfect choic made cast script littl bit humor sprinkl mani point film could gone cheap thrill never put movi mani mediocr thriller come late last number years
",positive
"tale base two edgar allen poe piec fall hous usher danc death poem actual quit creepi begin end similar old black white movi peopl meet old decrepit hous exampl cat canari old dark hous night terror bori karloff play dement inventor life size doll terror guest die earli film resid hous subject number terrifi experi go much detail definit must see fan old dark hous mysteri watch plenti popcorn soda darken room dan basinger
",positive
"see sever movi villaronga pretti clear opinion concentr much person aspect charact forget rhythm movi though good critic movi never caught broad audienc attent aro follow line realli improv rhythm especi end movi frank speak slept first part caus though first part give necessari inform realli slow nevertheless second part absolut marvel make whole movi best movi ever made villaronga recommended
",positive
"got uniqu twist two genr ever seen giant monster movi genr live mummi movi genr uniqu blend make uniqu compel stori cast outstand includ tom bosley far know never horror movi ever effect impress idea giant mummi fill smaller mummi cool one one complaint wish saw giant mummi think great job dialog charact stori perfect act wonder got best movi come sci fi channel heard best movi come sci fi channel give fallen ones
",positive
"peopl bitch movi aw movi like godfath titan greatest movi st centuri great act direct effect music general everyth movi alway dump one day one said like world decid agre noth wrong movi say movi heavili oscar award movi time money ever made ever sad one underr movi ever seen apart truli best movi time movi come close like star war lord ring trilog anyth master hitchcock spielberg tim burton good movi director none match jame cameron masterpiec titanic
",positive
